Year,Mileage,Brand,Price
2008,91011,Hyundai,5000
2002,199318,Nissan,5000
2003,172189,Chevrolet,5000
2010,81384,Mercedes,11302
2006,31725,Audi,5000
2019,168119,Chevrolet,11947
2010,150230,Mercedes,9443
2015,57347,Ford,13146
2015,9175,Audi,22676
2023,106779,Hyundai,15689
2021,148785,Chevrolet,14329
2007,82874,Honda,5000
2018,141150,Mercedes,22607
2010,167093,Toyota,5000
2004,95727,Kia,5000
2022,169817,Kia,11886
2014,176272,BMW,12949
2020,84287,Chevrolet,15963
2022,90752,Nissan,16206
2003,184778,Hyundai,5000
2008,18230,BMW,7708
2022,80659,Mercedes,33966
2011,112988,Mercedes,12190
2010,62205,Kia,5253
2009,12647,Chevrolet,5848
2002,115395,Audi,5000
2006,80717,BMW,5000
2004,187704,Hyundai,5000
2003,18632,Nissan,5000
2007,17075,Hyundai,5000
2006,16733,Nissan,5000
2018,186438,Honda,10096
2006,110643,BMW,5000
2006,78757,Ford,5000
2018,108414,Nissan,12060
2011,154403,Honda,5564
2023,169779,Mercedes,28233
2004,63094,Chevrolet,5000
2015,32128,Audi,21615
2002,31560,Mercedes,5000
2017,31524,Nissan,13398
2002,10201,Audi,5000
2006,67574,Audi,5000
2001,8941,Kia,5000
2006,79767,Ford,5000
2001,42968,Kia,5000
2005,108313,Audi,5000
2014,74971,Toyota,10625
2020,64175,Mercedes,31379
2023,28706,Kia,17909
2019,9721,Honda,16914
2004,85382,Toyota,5000
2012,155659,Hyundai,5784
2006,147662,Mercedes,5000
2001,162508,Kia,5000
2008,9403,Toyota,5000
2016,188676,Mercedes,16811
2021,25710,Kia,16125
2000,43345,Kia,5000
2002,145504,Kia,5000
2020,194931,Ford,13178
2002,101519,Kia,5000
2012,52608,Ford,9663
2013,91927,Toyota,9181
2016,98957,Ford,12993
2020,159578,Mercedes,24510
2020,77252,Hyundai,14204
2014,87595,Audi,17321
2000,45769,Toyota,5000
2015,71262,Hyundai,9903
2000,149718,Kia,5000
2005,160119,Audi,5000
2015,76835,Audi,19550
2019,161936,Toyota,12677
2022,95286,BMW,29139
2012,131790,Hyundai,6185
2019,122363,BMW,22658
2018,70338,Honda,13835
2009,42965,Kia,5000
2005,119446,Honda,5000
2008,70198,Ford,5000
2010,15953,Chevrolet,6970
2016,173167,Mercedes,17648
2012,70104,Ford,9285
2001,124969,Kia,5000
2020,85100,Honda,15268
2002,149973,Audi,5000
2003,71575,Kia,5000
2008,162476,Kia,5000
2006,87063,BMW,5000
2009,42396,Honda,5262
2002,64631,Toyota,5000
2023,16668,Toyota,22958
2014,158027,Kia,6839
2013,178508,Audi,12152
2004,78388,Nissan,5000
2008,155789,BMW,5507
2001,177485,Toyota,5000
2000,17673,Chevrolet,5000
2023,198888,Ford,15447
2010,174160,Hyundai,5000
2003,145626,Mercedes,5000
2004,142429,Mercedes,5000
2015,90819,Audi,18904
2022,16877,Nissan,19131
2009,134507,Nissan,5000
2023,90079,Audi,32711
2021,180452,Mercedes,24445
2002,186139,Chevrolet,5000
2012,132454,Toyota,7350
2018,60320,Chevrolet,14773
2006,132642,Ford,5000
2012,29516,Mercedes,16937
2000,190314,Honda,5000
2002,109144,Nissan,5000
2011,36405,Kia,6490
2006,52681,Hyundai,5000
2003,192486,Toyota,5000
2004,104069,Audi,5000
2013,70479,Ford,10437
2021,86423,Nissan,15467
2020,185374,Toyota,12585
2019,168967,BMW,19861
2022,122972,Hyundai,14251
2010,113709,BMW,9270
2008,10932,Chevrolet,5000
2016,30470,Audi,23664
2000,8552,Honda,5000
2013,173858,Nissan,6457
2020,174034,Honda,11995
2020,74601,Kia,13612
2023,9307,Mercedes,41954
2004,16523,BMW,5000
2006,116491,Toyota,5000
2004,180147,Nissan,5000
2003,123918,Audi,5000
2017,30588,Nissan,13425
2003,166938,Hyundai,5000
2011,37235,Mercedes,14577
2020,41499,Mercedes,33012
2016,115587,Honda,10609
2005,46990,Toyota,5000
2009,109536,Mercedes,8785
2004,140445,Hyundai,5000
2022,89704,BMW,29541
2023,167231,Chevrolet,15174
2011,126832,Toyota,6530
2014,71999,Ford,11556
2002,146419,Hyundai,5000
2004,5701,BMW,5000
2005,179460,Hyundai,5000
2004,162407,Hyundai,5000
2017,77126,Honda,12643
2017,139840,BMW,18728
2005,196869,Nissan,5000
2011,188558,Kia,5000
2014,15568,Nissan,10657
2005,141199,Toyota,5000
2003,55481,Chevrolet,5000
2003,53811,Honda,5000
2010,45408,Audi,11455
2012,59689,BMW,14089
2007,45082,Toyota,5000
2009,45344,Hyundai,5000
2020,62475,Audi,29401
2008,129710,Nissan,5000
2007,86155,BMW,5000
2020,119687,Chevrolet,14604
2021,146599,Hyundai,12616
2004,62284,Audi,5000
2000,20566,Kia,5000
2015,125165,Kia,8246
2006,15947,Audi,5000
2021,120195,Ford,17433
2014,120519,Ford,10245
2000,91296,Honda,5000
2022,15524,Kia,17441
2021,149711,Audi,25010
2002,25936,Kia,5000
2019,110481,Kia,11685
2014,78857,Kia,8422
2022,43033,Mercedes,37014
2022,168610,Kia,11930
2016,85404,Kia,9950
2019,87252,BMW,24764
2010,183309,Ford,5130
2003,165876,Mercedes,5000
2007,140722,Mercedes,5000
2007,62193,Honda,5000
2013,178761,Honda,6649
2004,98025,Chevrolet,5000
2018,159082,Toyota,11932
2017,151477,Kia,9061
2015,87417,BMW,18153
2020,198765,BMW,19279
2005,165143,Audi,5000
2007,70310,BMW,5156
2005,124197,Honda,5000
2004,143047,Mercedes,5000
2009,73401,Kia,5000
2006,58072,Chevrolet,5000
2012,29180,Toyota,9416
2017,167862,Honda,9930
2016,170843,Toyota,9874
2018,48432,Ford,17069
2015,124005,Toyota,10339
2013,138207,Audi,13675
2016,135719,Kia,8742
2008,64580,Ford,5000
2014,104460,Audi,16612
2011,183359,Mercedes,9974
2001,137123,Nissan,5000
2017,124317,Nissan,10744
2020,122508,Chevrolet,14495
2003,48885,Hyundai,5000
2019,187944,Hyundai,9829
2023,79838,Audi,33528
2004,75122,Mercedes,5000
2019,54822,BMW,26710
2001,100061,Nissan,5000
2007,76419,Audi,5337
2005,144124,Audi,5000
2013,63937,Nissan,8634
2021,65225,Audi,31042
2017,190118,Toyota,10071
2004,105199,Mercedes,5000
2002,172896,Hyundai,5000
2001,139353,Ford,5000
2022,93229,Chevrolet,17572
2015,83299,Honda,10542
2008,113141,Hyundai,5000
2023,117354,Kia,14540
2023,173228,BMW,24834
2017,148457,Toyota,11425
2023,7827,Nissan,20572
2008,126280,Ford,5000
2014,6960,Toyota,12326
2006,43896,Chevrolet,5000
2015,35571,Kia,10217
2013,111394,Ford,9443
2020,115963,Hyundai,12903
2022,124520,Ford,18248
2011,175617,Toyota,5676
2011,93258,Honda,6548
2003,38880,Mercedes,5000
2011,183122,Hyundai,5000
2023,82907,Kia,15849
2010,151829,Nissan,5000
2014,38163,Honda,10622
2016,77468,Nissan,11154
2022,155154,BMW,24828
2015,31909,Chevrolet,12357
2002,98859,Chevrolet,5000
2022,59928,Kia,15842
2014,46093,Mercedes,20425
2009,164143,Kia,5000
2009,19571,Chevrolet,5765
2011,24009,BMW,13327
2021,143516,Mercedes,27271
2011,187173,Toyota,5474
2018,71594,Ford,16193
2012,32548,Nissan,8227
2002,94625,Audi,5000
2003,123825,Ford,5000
2002,58009,Audi,5000
2018,41472,Hyundai,13480
2000,25310,Audi,5000
2003,119121,Honda,5000
2012,191961,Nissan,5421
2016,90218,Hyundai,10326
2020,74232,Nissan,14987
2006,11521,BMW,5000
2015,61304,Hyundai,10133
2009,103562,BMW,7928
2023,174475,Nissan,13606
2008,188239,Chevrolet,5000
2003,114059,Ford,5000
2016,171256,BMW,15779
2002,169239,Mercedes,5000
2023,181898,Nissan,13296
2019,62209,Audi,27580
2001,65065,Chevrolet,5000
2006,193046,Kia,5000
2006,128764,Mercedes,5000
2010,100825,Audi,10059
2008,54721,Mercedes,8015
2018,44530,Chevrolet,15303
2021,182489,Toyota,13494
2002,14376,Honda,5000
2012,160064,BMW,10877
2008,81787,Kia,5000
2000,134292,BMW,5000
2000,107604,Toyota,5000
2005,11888,Toyota,5000
2022,117437,Nissan,15149
2005,117818,Mercedes,5000
2017,183652,Audi,17272
2004,169877,Chevrolet,5000
2021,48368,Hyundai,16123
2011,19462,Audi,14127
2018,171714,Hyundai,9651
2001,139695,Chevrolet,5000
2008,102633,Mercedes,7152
2023,198100,BMW,22944
2004,138754,Toyota,5000
2007,40554,Hyundai,5000
2021,86946,Chevrolet,16852
2008,148240,Hyundai,5000
2020,192477,Toyota,12300
2021,41786,BMW,31158
2006,9842,Audi,5000
2015,153626,Nissan,8382
2017,9501,Chevrolet,15303
2007,14127,BMW,5830
2023,119020,Hyundai,15201
2009,55010,Nissan,5000
2017,30387,Kia,12209
2010,105200,BMW,9475
2008,158604,Kia,5000
2013,155129,Kia,6207
2022,172439,Kia,11792
2017,30344,Toyota,15263
2006,183277,Ford,5000
2017,183440,Ford,11111
2001,22125,Hyundai,5000
2014,5721,Chevrolet,11862
2020,104069,Mercedes,28507
2019,112954,BMW,23222
2010,16377,Hyundai,6093
2016,80698,Ford,13585
2017,34101,Audi,25438
2014,138181,Mercedes,16281
2004,96069,Nissan,5000
2000,195012,BMW,5000
2017,113047,Nissan,11066
2012,143402,Nissan,6276
2020,24184,Kia,15226
2001,181232,BMW,5000
2022,63057,Ford,21235
2007,43286,BMW,5480
2016,164921,Mercedes,18094
2005,120222,Nissan,5000
2009,157156,Ford,5000
2012,182185,Hyundai,5339
2005,36578,Honda,5000
2014,166138,Mercedes,15023
2023,39410,Kia,17502
2005,14573,Ford,5000
2022,167174,Nissan,13179
2006,41950,Hyundai,5000
2019,95809,Honda,13944
2006,52052,Nissan,5000
2019,17935,Nissan,15908
2021,114528,Mercedes,29488
2022,115353,Honda,15924
2019,94328,Mercedes,27382
2022,129691,Mercedes,29995
2021,10400,Ford,22472
2015,186612,Hyundai,7239
2022,82563,Kia,15027
2019,51768,Hyundai,14119
2004,161781,Kia,5000
2012,73158,Chevrolet,8195
2002,25833,Honda,5000
2023,119887,Hyundai,15166
2001,21240,BMW,5000
2023,116639,Toyota,18209
2016,104982,Ford,12798
2006,152242,Audi,5000
2014,91129,Chevrolet,9812
2019,161052,Ford,13727
2011,167886,Honda,5347
2019,34916,Honda,16045
2008,42539,BMW,7319
2021,132943,Audi,26207
2001,181993,Ford,5000
2003,123644,Toyota,5000
2004,63666,Nissan,5000
2000,111191,Honda,5000
2019,138766,Toyota,13546
2003,41602,Toyota,5000
2006,160932,Kia,5000
2017,64015,Nissan,12469
2014,180583,Honda,7346
2007,47795,Hyundai,5000
2019,179464,BMW,19232
2008,99228,Nissan,5000
